sp;BodyMass.Value;Nocturnal;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;PelagicSpecialist;litter_or_clutch_size_n;litters_or_clutches_per_y;range_m2
Amazona_aestiva;451;0;0;0;0;30;40;30;0;0;3;NA;5.86E+12
Anodorhynchus_glaucus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1.81E+11
Aramides_cajaneus;397;0;0;50;50;0;0;0;0;0;4.3;NA;1.30E+13
Arremon_flavirostris;26.13;0;0;0;80;20;0;0;0;0;2.8;NA;1.94E+12
Campylopterus_calcirupicola;8.3;0;0;0;0;40;60;0;0;0;2;NA;NA
Cichlocolaptes_mazarbarnetti;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46664287.25
Columbina_cyanopis;45.63;0;0;0;100;0;0;0;0;0;2;NA;2587817647
Columbina_cyanopis;45.63;0;0;0;100;0;0;0;0;0;2;NA;552520242.7
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;1.07E+11
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;30328090905
Cotinga_maculata;65;0;0;0;0;30;50;20;0;0;NA;NA;68068263402
Drymophila_genei;11.08;0;0;0;40;40;20;0;0;0;NA;NA;24960166414
Elaenia_albiceps;15.5;0;0;0;0;0;100;0;0;0;2.4;NA;1.08E+13
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;5622691453
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;3055921558
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;1.39E+12
Eleothreptus_candicans;49.3;1;0;0;20;40;40;0;0;0;2;NA;3577599197
Formicivora_acutirostris;10;0;0;0;50;50;0;0;0;0;2;NA;880775217.6
Glaucidium_mooreorum;51;1;0;0;80;10;10;0;0;0;NA;NA;6471474.826
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;2.35E+12
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;5.18E+12
Harpagus_diodon;200;0;0;0;0;0;70;0;30;0;2;NA;5.05E+11
Mergus_octosetaceus;983;0;100;0;0;0;0;0;0;0;8;NA;51321711989
Mergus_octosetaceus;983;0;100;0;0;0;0;0;0;0;8;NA;1.26E+12
Myrmotherula_snowi;9.59;0;0;0;0;40;60;0;0;0;NA;NA;197954189.6
Myrmotherula_snowi;9.59;0;0;0;0;40;60;0;0;0;NA;NA;87467849.68
Nothura_maculosa;257.48;0;0;0;100;0;0;0;0;0;5.5;NA;5.65E+12
Ortalis_guttata;547.72;0;0;0;0;0;50;50;0;0;3.5;NA;4.43E+12
Ortalis_squamata;547.72;0;0;0;0;0;50;50;0;0;3;NA;2.91E+11
Philydor_novaesi;38;0;0;0;0;50;50;0;0;0;NA;NA;126987498.4
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;3.39E+11
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;2.08E+12
Sporophila_cinnamomea;NA;NA;0;0;50;50;0;0;0;0;3;NA;3.28E+11
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;1.63E+12
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;1.06E+11
Sporophila_maximiliani;NA;NA;0;0;70;30;0;0;0;0;2;NA;93741897197
Sporophila_melanogaster;NA;NA;0;0;50;50;0;0;0;0;2;NA;8.19E+11
Sporophila_melanogaster;NA;NA;0;0;50;50;0;0;0;0;2;NA;17770496550
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;86582475625
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;1.50E+12
Sporophila_palustris;NA;NA;0;0;50;50;0;0;0;0;2;NA;9.29E+11
