	sp	BodyMass.Value	Nocturnal	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	litter_or_clutch_size_n	litters_or_clutches_per_y	range_m2
1	Accipiter_bicolor	287.54	0	0	0	0	33	33	33	0	0	NA	NA	NA
2	Accipiter_striatus	130.59	0	0	0	0	25	25	25	25	0	NA	NA	NA
3	Alopochelidon_fucata	13.96	0	0	0	0	80	20	0	0	0	4.5	NA	4.08E+12
4	Amazilia_lactea	4.6	0	0	0	0	30	30	30	10	0	2	NA	1.65E+12
5	Amazilia_versicolor	4.1	0	0	0	0	30	40	30	0	0	2	NA	5.11E+12
6	Amazona_aestiva	451	0	0	0	0	30	40	30	0	0	3	NA	5.86E+12
7	Amazona_farinosa	625.99	0	0	0	0	0	60	40	0	0	3	NA	6.79E+12
8	Amazonetta_brasiliensis	499.99	0	0	20	80	0	0	0	0	0	7	1	8.74E+12
9	Ammodramus_humeralis	15.99	0	0	0	60	30	10	0	0	0	2.75	NA	9.12E+12
10	Anabazenops_fuscus	39	0	0	0	10	20	70	0	0	0	NA	NA	3.73E+11
11	Anhinga_anhinga	1235	0	100	0	0	0	0	0	0	0	NA	NA	NA
12	Anthracothorax_nigricollis	7	0	0	0	0	10	30	40	20	0	2	2.5	1.02E+11
13	Anthracothorax_nigricollis	7	0	0	0	0	10	30	40	20	0	2	2.5	9.71E+12
14	Aramides_cajaneus	397	0	0	50	50	0	0	0	0	0	4.3	NA	1.30E+13
15	Aramides_saracura	540	0	0	30	70	0	0	0	0	0	4.5	NA	9.29E+11
16	Aramus_guarauna	1080	0	0	50	50	0	0	0	0	0	NA	NA	NA
17	Ardea_alba	1752.44	0	0	100	0	0	0	0	0	0	NA	NA	NA
18	Ardea_cocoi	1752.44	0	0	100	0	0	0	0	0	0	3	NA	1.47E+13
19	Arremon_semitorquatus	28.08	0	0	0	80	20	0	0	0	0	2	NA	2.15E+11
20	Asemospiza_fuliginosa	13.3	0	0	0	100	0	0	0	0	0	NA	NA	9.52E+11
21	Athene_cunicularia	150.61	1	0	0	80	10	10	0	0	0	NA	NA	NA
22	Attila_phoenicurus	32.3	0	0	0	0	33	33	33	0	0	NA	NA	5.52E+11
23	Attila_phoenicurus	32.3	0	0	0	0	33	33	33	0	0	NA	NA	3.50E+12
24	Attila_phoenicurus	32.3	0	0	0	0	33	33	33	0	0	NA	NA	50426681804
25	Attila_rufus	42.6	0	0	0	25	25	25	25	0	0	NA	NA	3.43E+11
26	Automolus_leucophthalmus	34.5	0	0	0	0	80	20	0	0	0	3.5	NA	1.80E+12
27	Baryphthengus_ruficapillus	141.65	0	0	0	50	20	30	0	0	0	NA	NA	1.57E+12
28	Basileuterus_culicivorus	10.5	0	0	0	0	70	30	0	0	0	NA	NA	NA
29	Brotogeris_chiriri	61.6	0	0	0	30	30	20	20	0	0	5	1	3.80E+12
30	Brotogeris_tirica	63	0	0	0	0	20	20	60	0	0	4	NA	2.89E+11
31	Bubulcus_ibis	365.95	0	0	30	70	0	0	0	0	0	NA	NA	NA
32	Buteo_brachyurus	496.01	0	0	0	0	0	0	80	20	0	2	NA	766976987.7
33	Buteo_brachyurus	496.01	0	0	0	0	0	0	80	20	0	2	NA	1.29E+13
34	Buteogallus_coronatus	2950	0	0	0	100	0	0	0	0	0	1	NA	4.23E+12
35	Buteogallus_meridionalis	807.99	0	0	0	100	0	0	0	0	0	NA	NA	NA
36	Butorides_striata	201.5	0	0	80	20	0	0	0	0	0	NA	NA	NA
37	Cacicus_chrysopterus	36.16	0	0	0	0	0	80	20	0	0	NA	NA	1.63E+12
38	Cairina_moschata	2415.78	0	0	50	50	0	0	0	0	0	NA	NA	NA
39	Calliphlox_amethystina	2.8	0	0	0	0	50	40	0	10	0	2	NA	7.99E+12
40	Campephilus_robustus	200	0	0	0	0	30	40	30	0	0	NA	NA	1.89E+12
41	Camptostoma_obsoletum	8.1	0	0	0	0	0	80	20	0	0	2	NA	57333452941
42	Camptostoma_obsoletum	8.1	0	0	0	0	0	80	20	0	0	2	NA	1.44E+13
43	Campylorhamphus_falcularius	42.6	0	0	0	0	50	50	0	0	0	2	NA	8.77E+11
44	Capsiempis_flaveola	7.7	0	0	0	0	0	100	0	0	0	2	NA	5.72E+12
45	Caracara_plancus	1078.62	0	0	0	100	0	0	0	0	0	NA	NA	NA
46	Cariama_cristata	1400	0	0	0	60	40	0	0	0	0	2.2	NA	5.93E+12
47	Cathartes_aura	1518.24	0	0	0	100	0	0	0	0	0	NA	NA	NA
48	Cathartes_burrovianus	935	0	0	0	100	0	0	0	0	0	NA	NA	NA
49	Celeus_flavescens	139	0	0	0	20	30	50	0	0	0	NA	NA	2.62E+12
50	Certhiaxis_cinnamomeus	15.2	0	0	0	0	33	33	33	0	0	3.1	NA	8.36E+12
51	Chaetura_meridionalis	22.2	0	0	0	0	0	0	0	100	0	3.75	NA	4.93E+12
52	Chaetura_meridionalis	22.2	0	0	0	0	0	0	0	100	0	3.75	NA	1.28E+12
53	Chaetura_meridionalis	22.2	0	0	0	0	0	0	0	100	0	3.75	NA	6.55E+12
54	Chamaeza_meruloides	69	0	0	0	100	0	0	0	0	0	NA	NA	1.03E+11
55	Chionomesa_fimbriata	4.9	0	0	0	0	80	20	0	0	0	NA	NA	NA
56	Chionomesa_lactea	4.6	0	0	0	0	30	30	30	10	0	NA	NA	NA
57	Chiroxiphia_caudata	25.6	0	0	0	0	50	50	0	0	0	2	NA	1.46E+12
58	Chloroceryle_amazona	126.38	0	100	0	0	0	0	0	0	0	3.75	1	1.31E+13
59	Chloroceryle_americana	33.73	0	70	10	10	10	0	0	0	0	NA	NA	NA
60	Chlorophonia_cyanea	14	0	0	0	0	0	20	80	0	0	3	NA	2.01E+12
61	Chlorophonia_cyanocephala	14	0	0	0	0	20	40	40	0	0	NA	NA	NA
62	Chlorostilbon_lucidus	3.5	0	0	0	0	0	90	10	0	0	2	NA	5.79E+12
63	Chondrohierax_uncinatus	286.07	0	0	0	0	50	50	0	0	0	2	NA	8.80E+12
64	Chondrohierax_uncinatus	286.07	0	0	0	0	50	50	0	0	0	2	NA	5466357726
65	Chrysomus_ruficapillus	32	0	0	0	90	10	0	0	0	0	3	NA	5.79E+12
66	Ciccaba_virgata	283.97	1	0	0	80	20	0	0	0	0	NA	NA	NA
67	Circus_buffoni	507.4	0	0	0	100	0	0	0	0	0	3.75	NA	3.75E+12
68	Circus_buffoni	507.4	0	0	0	100	0	0	0	0	0	3.75	NA	2.02E+12
69	Cnemotriccus_fuscatus	13.6	0	0	0	40	40	20	0	0	0	3	NA	1.22E+13
70	Coereba_flaveola	10.01	0	0	0	0	80	20	0	0	0	NA	NA	NA
71	Colaptes_campestris	158	0	0	0	100	0	0	0	0	0	4.75	NA	4.57E+12
72	Colaptes_campestris	158	0	0	0	100	0	0	0	0	0	4.5	NA	4.57E+12
73	Colaptes_melanochloros	127.27	0	0	0	0	50	50	0	0	0	4	NA	4.72E+12
74	Colibri_serrirostris	6.7	0	0	0	0	70	30	0	0	0	2	NA	2.37E+12
75	Colonia_colonus	18.3	0	0	0	0	30	70	0	0	0	2.4	NA	6.77E+12
76	Columba_livia	354.2	0	0	0	80	20	0	0	0	0	NA	NA	NA
77	Columbina_talpacoti	46.04	0	0	0	100	0	0	0	0	0	NA	NA	NA
78	Conirostrum_speciosum	8.8	0	0	0	60	20	20	0	0	0	NA	NA	7.56E+12
79	Conopophaga_lineata	25.21	0	0	0	60	40	0	0	0	0	2	NA	1.90E+12
80	Contopus_cinereus	11.6	0	0	0	0	30	70	0	0	0	2.4	NA	3.84E+12
81	Coragyps_atratus	1881.69	0	0	0	100	0	0	0	0	0	NA	NA	NA
82	Corythopis_delalandi	15	0	0	0	80	20	0	0	0	0	2.4	NA	2.53E+12
83	Cranioleuca_pallida	11.5	0	0	0	0	0	50	50	0	0	NA	NA	6.94E+11
84	Crotophaga_ani	110.09	0	0	0	40	30	30	0	0	0	NA	NA	NA
85	Crypturellus_obsoletus	443.4	0	0	0	100	0	0	0	0	0	4.5	NA	1.84E+12
86	Crypturellus_parvirostris	198.99	0	0	0	100	0	0	0	0	0	4.5	NA	6.66E+12
87	Crypturellus_tataupa	218.8	0	0	0	50	50	0	0	0	0	4.5	2	4.86E+12
88	Cyanocorax_cristatellus	178	0	0	0	60	20	20	0	0	0	3	NA	3.04E+12
89	Cyanoloxia_brissonii	27.5	0	0	0	50	50	0	0	0	0	2	NA	5.85E+12
90	Cyclarhis_gujanensis	28.8	0	0	0	0	40	40	20	0	0	NA	NA	NA
91	Dacnis_cayana	13	0	0	0	0	0	30	60	10	0	2	NA	56501792441
92	Dendrocolaptes_latirostris	61.7	0	0	0	50	50	0	0	0	0	NA	NA	NA
93	Dendrocolaptes_platyrostris	61.7	0	0	0	50	50	0	0	0	0	NA	NA	3.89E+12
94	Dendrocygna_autumnalis	755.3	0	0	50	50	0	0	0	0	0	NA	NA	NA
95	Dendroma_rufa	25	0	0	0	0	0	40	60	0	0	NA	NA	NA
96	Donacobius_atricapilla	36.8	0	0	0	0	50	50	0	0	0	2.2	NA	8.62E+12
97	Dromococcyx_pavoninus	46.4	0	0	0	50	50	0	0	0	0	1	NA	3.10E+12
98	Drymophila_ferruginea	10.6	0	0	0	0	30	70	0	0	0	NA	NA	5.06E+11
99	Dryobates_spilogaster	40.3	0	0	0	0	50	50	0	0	0	NA	NA	NA
100	Dryocopus_lineatus	183.19	0	0	0	20	20	60	0	0	0	NA	NA	NA
101	Dysithamnus_mentalis	14.87	0	0	0	0	40	40	20	0	0	NA	NA	NA
102	Egretta_thula	371	0	0	70	30	0	0	0	0	0	NA	NA	NA
103	Elaenia_chiriquensis	15.4	0	0	0	0	40	60	0	0	0	2	1.5	7.21E+12
104	Elaenia_flavogaster	24.8	0	0	0	0	20	40	30	10	0	NA	NA	NA
105	Elaenia_mesoleuca	17.6	0	0	0	0	20	40	40	0	0	2.4	NA	2.22E+12
106	Elaenia_parvirostris	13.8	0	0	0	0	33	33	33	0	0	2.4	NA	8.22E+12
107	Elaenia_parvirostris	13.8	0	0	0	0	33	33	33	0	0	2.4	NA	2.74E+12
108	Elaenia_spectabilis	27.3	0	0	0	0	0	0	100	0	0	2	NA	2.88E+12
109	Elaenia_spectabilis	27.3	0	0	0	0	0	0	100	0	0	2	NA	5.65E+12
110	Elanoides_forficatus	416.24	0	0	0	0	50	50	0	0	0	2	1	1.26E+13
111	Elanus_leucurus	346	0	0	0	80	0	0	0	20	0	NA	NA	NA
112	Eleoscytalopus_indigoticus	16.15	0	0	0	60	40	0	0	0	0	2	NA	4.55E+11
113	Emberizoides_herbicola	25.1	0	0	0	70	30	0	0	0	0	2	NA	5.55E+12
114	Empidonomus_varius	27.1	0	0	0	0	30	70	0	0	0	2.2	NA	7.74E+12
115	Empidonomus_varius	27.1	0	0	0	0	30	70	0	0	0	2.2	NA	2.80E+12
116	Estrilda_astrild	8.29	0	0	0	50	50	0	0	0	0	NA	NA	NA
